id,authors,year,title,publication_status,url,annotation
1,Erkki Oja,1982,A simplified neuron model as a principal component analyzer,Journal of Mathematical Biology,https://pubmed.ncbi.nlm.nih.gov/7153672/,Foundational stabilized Hebbian rule; principal-component learning under specified assumptions. Start here for the mathematical distinction between correlation and useful normalized learning.
2,Elie L. Bienenstock; Leon N. Cooper; Paul W. Munro,1982,Theory for the development of neuron selectivity: orientation specificity and binocular interaction in visual cortex,Journal of Neuroscience,https://www.cnbc.cmu.edu/~tai/nc19journalclubs/BCM_paper1982.pdf,"Sliding modification threshold links activity history to plasticity and selectivity. Biological foundation, not an LLM experiment."
3,Terence D. Sanger,1989,Optimal unsupervised learning in a single-layer linear feedforward neural network,Neural Networks,https://www.sciencedirect.com/science/article/pii/0893608089900440,Generalized Hebbian learning extracts multiple eigenvectors. Important for understanding decorrelation and the limits of linear representation objectives.
4,John J. Hopfield,1982,Neural networks and physical systems with emergent collective computational abilities,PNAS,https://pubmed.ncbi.nlm.nih.gov/6953413/,Classical recurrent associative memory and retrieval from incomplete cues. Distinguish pattern storage and retrieval from training a deep representation system.
5,Guo-qiang Bi; Mu-ming Poo,1998,"Synaptic modifications in cultured hippocampal neurons: dependence on spike timing, synaptic strength, and postsynaptic cell type",Journal of Neuroscience,https://pubmed.ncbi.nlm.nih.gov/9852584/,"Experimental STDP foundation. Supports timing-sensitive plasticity in the studied neurons, not a universal rule for every brain synapse."
6,Eugene M. Izhikevich,2007,Solving the distal reward problem through linkage of STDP and dopamine signaling,Cerebral Cortex,https://pubmed.ncbi.nlm.nih.gov/17220510/,Computational eligibility-trace and neuromodulation mechanism for delayed reward. A useful precursor to three-factor learning.
7,James L. McClelland; Bruce L. McNaughton; Randall C. O'Reilly,1995,Why there are complementary learning systems in the hippocampus and neocortex: insights from the successes and failures of connectionist models of learning and memory,Psychological Review,https://pubmed.ncbi.nlm.nih.gov/7624455/,"Fast acquisition, slow integration, and interleaving motivate memory consolidation. Does not imply that all fast/slow ML architectures are faithful biological models."
8,Jürgen Schmidhuber,1992,Learning to control fast-weight memories: An alternative to dynamic recurrent networks,Neural Computation; author-hosted paper,https://people.idsia.ch/~juergen/fastweights/,Slow controller produces fast memory changes. Historical source for learned fast-weight programming; related technical-report work appeared in 1991.
9,Jimmy Ba; Geoffrey E. Hinton; Volodymyr Mnih; Joel Z. Leibo; Catalin Ionescu,2016,Using Fast Weights to Attend to the Recent Past,NeurIPS 2016,https://proceedings.neurips.cc/paper_files/paper/2016/hash/9f44e956e3a2b7b5598c625fcc802c36-Abstract.html,Fast connections store recent activity and support attention-like retrieval. A bridge from biological timescales to sequence-model engineering.
10,Dmitry Krotov; John J. Hopfield,2019,Unsupervised learning by competing hidden units,PNAS; preprint 2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC6475390/,Competition and local plasticity produce useful hidden features. Separate unsupervised feature learning from supervised readout evaluation.
11,Leopold Grinberg; John Hopfield; Dmitry Krotov,2019,Local Unsupervised Learning for Image Analysis,arXiv paper,https://arxiv.org/abs/1908.08993,"Convolutional local learning, patch normalization, and transfer experiments. Relevant to visual representations, not direct LLM evidence."
12,Timoleon Moraitis; Dmitry Toichkin; Adrien Journé; Yansong Chua; Qinghai Guo,2021/2022,SoftHebb: Bayesian Inference in Unsupervised Hebbian Soft Winner-Take-All Networks,2021 preprint; Neuromorphic Computing and Engineering 2022,https://arxiv.org/abs/2107.05747,Probabilistic interpretation of soft competitive learning. Its unsupervised objective should not be confused with access to downstream class labels.
13,Adrien Journé; Hector Garcia Rodriguez; Qinghai Guo; Timoleon Moraitis,2022/2023,Hebbian Deep Learning Without Feedback,2022 preprint; ICLR 2023,https://arxiv.org/abs/2209.11883,Multilayer SoftHebb with image benchmarks and a supervised linear classifier. Key reference for the capability and scaling limits of local feature learning.
14,Thomas Miconi; Kenneth O. Stanley; Jeff Clune,2018,Differentiable plasticity: training plastic neural networks with backpropagation,ICML 2018,https://proceedings.mlr.press/v80/miconi18a.html,"Learns effective Hebbian plasticity through an outer gradient loop. Demonstrates rapid memory and meta-learning, rather than elimination of backpropagation."
15,Thomas Miconi; Aditya Rawal; Jeff Clune; Kenneth O. Stanley,2019/2020,Backpropamine: training self-modifying neural networks with differentiable neuromodulated plasticity,ICLR 2019; linked arXiv posting 2020,https://arxiv.org/abs/2002.10585,Learned neuromodulation controls plasticity; includes recurrent language-model experiments. Official code: https://github.com/uber-research/backpropamine.
16,Jack Rae; Chris Dyer; Peter Dayan; Timothy Lillicrap,2018,Fast Parametric Learning with Activation Memorization,ICML 2018,https://proceedings.mlr.press/v80/rae18a.html,Hebbian Softmax supports rapid binding of rare classes. The best reported language result combines multiple memory mechanisms; inspect the ablation table.
17,Zhongxia Yan; Hanrui Wang; Demi Guo; Song Han,2020,MicroNet for Efficient Language Modeling,NeurIPS 2019 competition proceedings; PMLR 2020,https://proceedings.mlr.press/v123/yan20a.html,"A compression system that includes Hebbian Softmax, cache, distillation, pruning, and quantization. Aggregate efficiency gains are not a Hebbian-only effect."
18,Timothy P. Lillicrap; Daniel Cownden; Douglas B. Tweed; Colin J. Akerman,2016,Random synaptic feedback weights support error backpropagation for deep learning,Nature Communications,https://www.nature.com/articles/ncomms13276,Feedback alignment relaxes exact weight-transport requirements. Error information still reaches hidden layers.
19,James C. R. Whittington; Rafal Bogacz,2017,An Approximation of the Error Backpropagation Algorithm in a Predictive Coding Network with Local Hebbian Synaptic Plasticity,Neural Computation,https://pubmed.ncbi.nlm.nih.gov/28333583/,Connects local predictive-coding updates with backpropagation under model assumptions. Read for credit assignment and iterative-inference requirements.
20,Benjamin Scellier; Yoshua Bengio,2017,Equilibrium Propagation: Bridging the Gap between Energy-Based Models and Backpropagation,Frontiers in Computational Neuroscience; preprint 2016,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2017.00024/full,Gradient learning from free and nudged equilibria. Local correlation differences do not remove the need for a task-dependent teaching influence.
21,Jordan Guerguiev; Timothy P. Lillicrap; Blake A. Richards,2017,Towards deep learning with segregated dendrites,eLife,https://elifesciences.org/articles/22901,Compartmentalized neurons separate feedforward and feedback influences. A biologically motivated route to deep credit assignment.
22,Guillaume Bellec and colleagues,2020,A solution to the learning dilemma for recurrent networks of spiking neurons,Nature Communications,https://www.nature.com/articles/s41467-020-17236-y,E-prop combines local eligibility traces with learning signals. Distinguish exact theoretical decompositions from practical signal approximations.
